epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.273,3.4705,5.21327,1.2766,0.00441,0.07873,0.00772,0.00198,2.56023,4.58047,0.9664,0.000216775,0.000216775,0.000216775
2,201.432,2.36576,3.06568,0.88071,0.53896,0.10594,0.08419,0.03794,2.12241,2.97915,0.93814,0.000430414,0.000430414,0.000430414
3,305.99,2.13351,2.66569,0.86239,0.34421,0.16516,0.15292,0.0698,1.97027,2.70488,0.92275,0.000635249,0.000635249,0.000635249
4,408.9,1.98323,2.35136,0.8499,0.63425,0.26752,0.26656,0.12771,1.8338,2.42145,0.91649,0.00062738,0.00062738,0.00062738
5,512.533,1.91975,2.21853,0.84924,0.53497,0.33239,0.3227,0.16064,1.74531,2.25304,0.91234,0.000614174,0.000614174,0.000614174
6,622.018,1.8405,2.00914,0.83579,0.47514,0.37439,0.37212,0.18621,1.75599,2.10746,0.90803,0.000600967,0.000600967,0.000600967
7,728.932,1.74689,1.90688,0.83131,0.53858,0.40369,0.42893,0.22881,1.62603,2.20998,0.89103,0.00058776,0.00058776,0.00058776
8,827.501,1.61768,1.78728,0.82654,0.6304,0.46953,0.52992,0.30305,1.47482,1.83833,0.88011,0.000574554,0.000574554,0.000574554
9,925.973,1.65083,1.71844,0.81932,0.56843,0.59486,0.62249,0.34474,1.50621,1.58887,0.8917,0.000561347,0.000561347,0.000561347
10,1025.95,1.60996,1.58162,0.82071,0.5977,0.65375,0.67479,0.40442,1.42257,1.49057,0.86171,0.000548141,0.000548141,0.000548141
11,1124.4,1.54505,1.50115,0.81714,0.61608,0.70527,0.74419,0.44095,1.47849,1.29056,0.87222,0.000534934,0.000534934,0.000534934
12,1222.63,1.56785,1.45775,0.81712,0.68875,0.6403,0.73117,0.41837,1.47081,1.55683,0.8723,0.000521727,0.000521727,0.000521727
13,1320.65,1.52709,1.40547,0.81931,0.66007,0.67222,0.75138,0.40857,1.4918,1.49803,0.86043,0.000508521,0.000508521,0.000508521
14,1419.08,1.59702,1.34007,0.81807,0.76647,0.66323,0.7812,0.45225,1.47712,1.38299,0.87232,0.000495314,0.000495314,0.000495314
15,1517.28,1.49825,1.25083,0.81486,0.7434,0.72111,0.83048,0.51475,1.3113,1.26943,0.86754,0.000482108,0.000482108,0.000482108
16,1615.24,1.44521,1.2499,0.81555,0.74495,0.78742,0.86609,0.53883,1.30662,1.42859,0.85913,0.000468901,0.000468901,0.000468901
17,1713.63,1.43319,1.21077,0.81223,0.84022,0.78885,0.86162,0.55153,1.26896,1.03518,0.86206,0.000455694,0.000455694,0.000455694
18,1812.01,1.40291,1.17412,0.80861,0.80625,0.83157,0.8852,0.55445,1.28849,1.08548,0.84881,0.000442488,0.000442488,0.000442488
19,1910.73,1.43051,1.17875,0.80833,0.79243,0.82553,0.88527,0.56761,1.26666,1.0562,0.84538,0.000429281,0.000429281,0.000429281
20,2009.06,1.41064,1.14166,0.80903,0.81012,0.81748,0.8943,0.56666,1.25268,1.01199,0.84729,0.000416075,0.000416075,0.000416075
21,2107.23,1.37273,1.09206,0.81241,0.83079,0.83854,0.91106,0.58088,1.23546,0.93393,0.85983,0.000402868,0.000402868,0.000402868
22,2205.56,1.39029,1.05011,0.80627,0.80403,0.83279,0.89806,0.54528,1.32358,0.93319,0.85564,0.000389661,0.000389661,0.000389661
23,2303.86,1.39599,1.02332,0.8077,0.85917,0.84996,0.91863,0.59921,1.2267,0.88587,0.85223,0.000376455,0.000376455,0.000376455
24,2403.27,1.37576,1.01148,0.80805,0.82797,0.85231,0.92616,0.58984,1.23274,1.04056,0.84017,0.000363248,0.000363248,0.000363248
25,2501.5,1.36653,0.99477,0.80715,0.90106,0.8619,0.93092,0.6128,1.19141,0.84271,0.84567,0.000350042,0.000350042,0.000350042
26,2599.62,1.34077,0.96625,0.81002,0.88838,0.86692,0.94311,0.59726,1.2533,0.88717,0.84653,0.000336835,0.000336835,0.000336835
27,2697.6,1.34032,0.95016,0.80655,0.85712,0.8609,0.94107,0.61828,1.17826,0.9271,0.84575,0.000323628,0.000323628,0.000323628
